symbol,name,series,isin,yahoo_symbol
BGRENERGY,BGR Energy Systems Limited,BE,INE661I01014,BGRENERGY.NS
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,INE414D01027,BHAGCHEM.NS
BHAGERIA,Bhageria Industries Limited,EQ,INE354C01027,BHAGERIA.NS
BHAGYANGR,Bhagyanagar India Limited,EQ,INE458B01036,BHAGYANGR.NS
BHANDARI,Bhandari Hosiery Exports Limited,EQ,INE474E01029,BHANDARI.NS
BHARATCOAL,Bharat Coking Coal Limited,EQ,INE05XR01022,BHARATCOAL.NS
BHARATFORG,Bharat Forge Limited,EQ,INE465A01025,BHARATFORG.NS
BHARATGEAR,Bharat Gears Limited,BE,INE561C01019,BHARATGEAR.NS
BHARATRAS,Bharat Rasayan Limited,EQ,INE838B01021,BHARATRAS.NS
BHARATSE,Bharat Seats Limited,EQ,INE415D01024,BHARATSE.NS
BHARATWIRE,Bharat Wire Ropes Limited,EQ,INE316L01019,BHARATWIRE.NS
BHARTIARTL,Bharti Airtel Limited,EQ,INE397D01024,BHARTIARTL.NS
BHARTIHEXA,Bharti Hexacom Limited,EQ,INE343G01021,BHARTIHEXA.NS
BHEL,Bharat Heavy Electricals Limited,EQ,INE257A01026,BHEL.NS
BI,Bilcare Limited,BE,INE986A01012,BI.NS
BIGBLOC,Bigbloc Construction Limited,EQ,INE412U01025,BIGBLOC.NS
BIKAJI,Bikaji Foods International Limited,EQ,INE00E101023,BIKAJI.NS
BIL,Bhartiya International Limited,EQ,INE828A01016,BIL.NS
BILVYAPAR,BIL VYAPAR LIMITED,BE,INE071A01013,BILVYAPAR.NS
BIMETAL,Bimetal Bearings Limited,EQ,INE469A01019,BIMETAL.NS
BIOCON,Biocon Limited,EQ,INE376G01013,BIOCON.NS
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,INE829A01014,BIOFILCHEM.NS
BIRLACABLE,Birla Cable Limited,EQ,INE800A01015,BIRLACABLE.NS
BIRLACORPN,Birla Corporation Limited,EQ,INE340A01012,BIRLACORPN.NS
BIRLAMONEY,Aditya Birla Money Limited,EQ,INE865C01022,BIRLAMONEY.NS
BIRLANU,BirlaNu Limited,EQ,INE557A01011,BIRLANU.NS
BIRLAPREC,Birla Precision Technologies Limited,BE,INE372E01025,BIRLAPREC.NS
BLACKBUCK,BLACKBUCK LIMITED,EQ,INE0UIZ01018,BLACKBUCK.NS
BLACKROSE,Black Rose Inds. Limited,BE,INE761G01016,BLACKROSE.NS
BLAL,BEML Land Assets Limited,EQ,INE0N7W01012,BLAL.NS
BLBLIMITED,BLB Limited,EQ,INE791A01024,BLBLIMITED.NS
BLEL,Behari Lal Engineering Limited,EQ,INE1EEM01017,BLEL.NS
BLIL,Balmer Lawrie Investments Limited,EQ,INE525F01025,BLIL.NS
BLISSGVS,Bliss GVS Pharma Limited,BE,INE416D01022,BLISSGVS.NS
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,INE350H01032,BLKASHYAP.NS
BLS,BLS International Services Limited,EQ,INE153T01027,BLS.NS
BLSE,BLS E-Services Limited,EQ,INE0NLT01010,BLSE.NS
BLUECLOUDS,Blue Cloud Softech Solutions Limited,EQ,INE373T01047,BLUECLOUDS.NS
BLUECOAST,Blue Coast Hotels Limited,EQ,INE472B01011,BLUECOAST.NS
BLUEDART,Blue Dart Express Limited,EQ,INE233B01017,BLUEDART.NS
BLUEJET,Blue Jet Healthcare Limited,EQ,INE0KBH01020,BLUEJET.NS
BLUESTARCO,Blue Star Limited,EQ,INE472A01039,BLUESTARCO.NS
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,INE304W01038,BLUESTONE.NS
BLUSPRING,Bluspring Enterprises Limited,EQ,INE0U4101014,BLUSPRING.NS
BMWVENTLTD,BMW Ventures Limited,EQ,INE965W01036,BMWVENTLTD.NS
BNAGROCHEM,BN Agrochem Limited,EQ,INE00HZ01011,BNAGROCHEM.NS
BNALTD,B & A Limited,BE,INE489D01011,BNALTD.NS
BODALCHEM,Bodal Chemicals Limited,EQ,INE338D01028,BODALCHEM.NS
BOHRAIND,Bohra Industries Limited,EQ,INE802W01023,BOHRAIND.NS
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,INE032A01023,BOMDYEING.NS
BONLON,Bonlon Industries Limited,EQ,INE0B9A01018,BONLON.NS
BORANA,Borana Weaves Limited,EQ,INE16SF01016,BORANA.NS
BOROLTD,Borosil Limited,EQ,INE02PY01013,BOROLTD.NS
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,INE666D01022,BORORENEW.NS
BOROSCI,Borosil Scientific Limited,EQ,INE02L001032,BOROSCI.NS
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ,INE782A01015,BOSCH-HCIL.NS
BOSCHLTD,Bosch Limited,EQ,INE323A01026,BOSCHLTD.NS
BPCL,Bharat Petroleum Corporation Limited,EQ,INE029A01011,BPCL.NS
BPL,BPL Limited,EQ,INE110A01019,BPL.NS
BPLPHARMA,Bharat Parenterals Limited,EQ,INE365Y01019,BPLPHARMA.NS
BRAHMINFRA,Brahmaputra Infrastructure Limited,EQ,INE320I01017,BRAHMINFRA.NS
BRIGADE,Brigade Enterprises Limited,EQ,INE791I01019,BRIGADE.NS
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,INE03NU01014,BRIGHOTEL.NS
BRIGHTBR,Bright Brothers Limited,EQ,INE630D01010,BRIGHTBR.NS
BRITANNIA,Britannia Industries Limited,EQ,INE216A01030,BRITANNIA.NS
BRNL,Bharat Road Network Limited,EQ,INE727S01012,BRNL.NS
BROOKS,Brooks Laboratories Limited,EQ,INE650L01011,BROOKS.NS
BSE,BSE Limited,EQ,INE118H01025,BSE.NS
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,INE032Z01020,BSHSL.NS
BSL,BSL Limited,EQ,INE594B01012,BSL.NS
BSOFT,BIRLASOFT LIMITED,EQ,INE836A01035,BSOFT.NS
BTML,Bodhi Tree Multimedia Limited,EQ,INE0EEJ01023,BTML.NS
BTTL,Bhilwara Technical Textiles Limited,BE,INE274K01012,BTTL.NS
BUILDPRO,Shankara Buildpro Limited,EQ,INE24OJ01011,BUILDPRO.NS
BURNPUR,Burnpur Cement Limited,BE,INE817H01022,BURNPUR.NS
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,INE295F01017,BUTTERFLY.NS
BVCL,Barak Valley Cements Limited,EQ,INE139I01011,BVCL.NS
BYKE,The Byke Hospitality Ltd,EQ,INE319B01014,BYKE.NS
CALSOFT,California Software Company Limited,BE,INE526B01014,CALSOFT.NS
CAMLINFINE,Camlin Fine Sciences Limited,EQ,INE052I01032,CAMLINFINE.NS
CAMPUS,Campus Activewear Limited,EQ,INE278Y01022,CAMPUS.NS
CAMS,Computer Age Management Services Limited,EQ,INE596I01020,CAMS.NS
CANBK,Canara Bank,EQ,INE476A01022,CANBK.NS
CANFINHOME,Can Fin Homes Limited,EQ,INE477A01020,CANFINHOME.NS
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,INE01TY01017,CANHLIFE.NS
CANTABIL,Cantabil Retail India Limited,EQ,INE068L01024,CANTABIL.NS
CAPACITE,Capacit'e Infraprojects Limited,EQ,INE264T01014,CAPACITE.NS
CAPILLARY,Capillary Technologies India Limited,EQ,INE0ILV01024,CAPILLARY.NS
CAPITALSFB,Capital Small Finance Bank Limited,EQ,INE646H01017,CAPITALSFB.NS
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,INE475E01026,CAPLIPOINT.NS
CAPTRUST,Capital Trust Limited,BE,INE707C01018,CAPTRUST.NS
CARBORUNIV,Carborundum Universal Limited,EQ,INE120A01034,CARBORUNIV.NS
CARERATING,CARE Ratings Limited,EQ,INE752H01013,CARERATING.NS
CARRARO,Carraro India Limited,EQ,INE0V7W01012,CARRARO.NS
CARTRADE,Cartrade Tech Limited,EQ,INE290S01011,CARTRADE.NS
CARYSIL,CARYSIL LIMITED,EQ,INE482D01024,CARYSIL.NS
CASTROLIND,Castrol India Limited,EQ,INE172A01027,CASTROLIND.NS
CCAVENUE,AvenuesAI Limited,EQ,INE483S01020,CCAVENUE.NS
CCCL,Consolidated Construction Consortium Limited,EQ,INE429I01024,CCCL.NS
CCHHL,Country Club Hospitality & Holidays Limited,EQ,INE652F01027,CCHHL.NS
CCL,CCL Products (India) Limited,EQ,INE421D01022,CCL.NS
CDSL,Central Depository Services (India) Limited,EQ,INE736A01011,CDSL.NS
CEATLTD,CEAT Limited,EQ,INE482A01020,CEATLTD.NS
CEIGALL,Ceigall India Limited,EQ,INE0AG901020,CEIGALL.NS
CEINSYS,Ceinsys Tech Limited,EQ,INE016Q01014,CEINSYS.NS
CELEBRITY,Celebrity Fashions Limited,EQ,INE185H01016,CELEBRITY.NS
CELLO,Cello World Limited,EQ,INE0LMW01024,CELLO.NS
CEMPRO,Cemindia Projects Limited,EQ,INE686A01026,CEMPRO.NS
CENTENKA,Century Enka Limited,EQ,INE485A01015,CENTENKA.NS
CENTEXT,Century Extrusions Limited,EQ,INE281A01026,CENTEXT.NS
CENTEXT-RE,Century Extrusions Limited-RE,BE,INE281A20018,CENTEXT-RE.NS
CENTRALBK,Central Bank of India,EQ,INE483A01010,CENTRALBK.NS
CENTRUM,Centrum Capital Limited,EQ,INE660C01027,CENTRUM.NS
CENTUM,Centum Electronics Limited,EQ,INE320B01020,CENTUM.NS
CENTURYPLY,Century Plyboards (India) Limited,EQ,INE348B01021,CENTURYPLY.NS
CERA,Cera Sanitaryware Limited,EQ,INE739E01017,CERA.NS
CESC,CESC Limited,EQ,INE486A01021,CESC.NS
CEWATER,Concord Enviro Systems Limited,EQ,INE037Z01029,CEWATER.NS
CFEL,Confidence Futuristic Energetech Limited,BE,INE700F01024,CFEL.NS
CGCL,Capri Global Capital Limited,EQ,INE180C01042,CGCL.NS
CGPOWER,CG Power and Industrial Solutions Limited,EQ,INE067A01029,CGPOWER.NS
CGVAK,CG Vak Software & Exports Limited,EQ,INE084D01010,CGVAK.NS
CHALET,Chalet Hotels Limited,EQ,INE427F01016,CHALET.NS
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,INE085A01013,CHAMBLFERT.NS
CHEMBOND,Chembond Material Technologies Limited,EQ,INE995D01025,CHEMBOND.NS
CHEMBONDCH,Chembond Chemicals Limited,BE,INE0TGX01019,CHEMBONDCH.NS
CHEMCON,Chemcon Speciality Chemicals Limited,BE,INE03YM01018,CHEMCON.NS
CHEMCRUX,Chemcrux Enterprises Limited,EQ,INE298W01016,CHEMCRUX.NS
CHEMFAB,Chemfab Alkalis Limited,EQ,INE783X01023,CHEMFAB.NS
CHEMPLASTS,Chemplast Sanmar Limited,EQ,INE488A01050,CHEMPLASTS.NS
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,INE178A01016,CHENNPETRO.NS
CHEVIOT,Cheviot Company Limited,EQ,INE974B01016,CHEVIOT.NS
CHOICEIN,Choice International Limited,EQ,INE102B01014,CHOICEIN.NS
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,INE121A01024,CHOLAFIN.NS
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,INE149A01033,CHOLAHLDNG.NS
CIEINDIA,CIE Automotive India Limited,EQ,INE536H01010,CIEINDIA.NS
CIFL,Capital India Finance Limited,EQ,INE345H01024,CIFL.NS
CINELINE,Cineline India Limited,EQ,INE704H01022,CINELINE.NS
CINEVISTA,Cinevista Limited,EQ,INE039B01026,CINEVISTA.NS
CIPLA,Cipla Limited,EQ,INE059A01026,CIPLA.NS
CLEAN,Clean Science and Technology Limited,EQ,INE227W01023,CLEAN.NS
CLEANMAX,Clean Max Enviro Energy Solutions Limited,EQ,INE647U01026,CLEANMAX.NS
CLEDUCATE,CL Educate Limited,EQ,INE201M01029,CLEDUCATE.NS
CLSEL,Chaman Lal Setia Exports Limited,EQ,INE419D01026,CLSEL.NS
CMLL,Caliber Mining and Logistics Limited,EQ,INE11XY01018,CMLL.NS
CMPDI,Central Mine Planning & Design Institute Limited,EQ,INE05HV01027,CMPDI.NS
CMRGREEN,CMR Green Technologies Limited,EQ,INE00WV01027,CMRGREEN.NS
CMSINFO,CMS Info Systems Limited,EQ,INE925R01014,CMSINFO.NS
CNL,Creative Newtech Limited,EQ,INE985W01018,CNL.NS
COALINDIA,Coal India Limited,EQ,INE522F01014,COALINDIA.NS
COASTCORP,Coastal Corporation Limited,EQ,INE377E01024,COASTCORP.NS
COCHINSHIP,Cochin Shipyard Limited,EQ,INE704P01025,COCHINSHIP.NS
COCKERILL,John Cockerill India Limited,EQ,INE515A01019,COCKERILL.NS
COFFEEDAY,Coffee Day Enterprises Limited,EQ,INE335K01011,COFFEEDAY.NS
COFORGE,Coforge Limited,EQ,INE591G01025,COFORGE.NS
COHANCE,Cohance Lifesciences Limited,EQ,INE03QK01018,COHANCE.NS
COLPAL,Colgate Palmolive (India) Limited,EQ,INE259A01022,COLPAL.NS
COMFINTE,Comfort Intech Limited,EQ,INE819A01049,COMFINTE.NS
COMPEAU,Competent Automobiles Company Limited,EQ,INE823B01015,COMPEAU.NS
COMPINFO,Compuage Infocom Limited,BZ,INE070C01037,COMPINFO.NS
COMPUSOFT,Compucom Software Limited,EQ,INE453B01029,COMPUSOFT.NS
COMSYN,Commercial Syn Bags Limited,EQ,INE073V01015,COMSYN.NS
CONCOR,Container Corporation of India Limited,EQ,INE111A01025,CONCOR.NS
CONCORDBIO,Concord Biotech Limited,EQ,INE338H01029,CONCORDBIO.NS
CONFIPET,Confidence Petroleum India Limited,EQ,INE552D01024,CONFIPET.NS
CONSOFINVT,Consolidated Finvest & Holdings Limited,BE,INE025A01027,CONSOFINVT.NS
CONTROLPR,Control Print Limited,EQ,INE663B01015,CONTROLPR.NS
CORALFINAC,Coral India Finance & Housing Limited,EQ,INE558D01021,CORALFINAC.NS
CORDELIA,Waterways Leisure Tourism Limited,EQ,INE0LZF01039,CORDELIA.NS
CORDSCABLE,Cords Cable Industries Limited,EQ,INE792I01017,CORDSCABLE.NS
COROMANDEL,Coromandel International Limited,EQ,INE169A01031,COROMANDEL.NS
CORONA,CORONA Remedies Limited,EQ,INE02ZQ01018,CORONA.NS
COSMOFIRST,COSMO FIRST LIMITED,EQ,INE757A01017,COSMOFIRST.NS
COUNCODOS,Country Condo's Limited,BE,INE695B01025,COUNCODOS.NS
CPCAP,CP Capital Limited,EQ,INE521J01018,CPCAP.NS
CPEDU,Career Point Edutech Limited,EQ,INE0P6P01016,CPEDU.NS
CPL,Captain Polyplast Limited,EQ,INE536P01021,CPL.NS
CPPLUS,Aditya Infotech Limited,EQ,INE819V01029,CPPLUS.NS
CRAFTSMAN,Craftsman Automation Limited,EQ,INE00LO01017,CRAFTSMAN.NS
CRAMC,Canara Robeco Asset Management Company Limited,EQ,INE218I01013,CRAMC.NS
CRAVATEX,Cravatex Limited,EQ,INE145E01017,CRAVATEX.NS
CREATIVEYE,Creative Eye Limited,EQ,INE230B01021,CREATIVEYE.NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,INE741K01010,CREDITACC.NS
CREST,Crest Ventures Limited,EQ,INE559D01011,CREST.NS
CRESTO,CRESTO TECHNO LIMITED,EQ,INE203Y01012,CRESTO.NS
CRISIL,Crisil Limited,EQ,INE007A01025,CRISIL.NS
CRIZAC,Crizac Limited,EQ,INE0S4R01014,CRIZAC.NS
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,INE299U01018,CROMPTON.NS
CROWN,Crown Lifters Limited,EQ,INE491V01019,CROWN.NS
CRSL,Cressanda Railway Solutions Limited,BE,INE716D01033,CRSL.NS
CSBBANK,CSB Bank Limited,EQ,INE679A01013,CSBBANK.NS
CSLFINANCE,CSL Finance Limited,EQ,INE718F01018,CSLFINANCE.NS
CSM,CSM Technologies Limited,EQ,INE0ZK601013,CSM.NS
CTE,Cambridge Technology Enterprises Limited,BE,INE627H01017,CTE.NS
CUB,City Union Bank Limited,EQ,INE491A01021,CUB.NS
CUBEXTUB,Cubex Tubings Limited,EQ,INE144D01012,CUBEXTUB.NS
CUMMINSIND,Cummins India Limited,EQ,INE298A01020,CUMMINSIND.NS
CUPID,Cupid Limited,EQ,INE509F01029,CUPID.NS
CURAA,Cura Technologies Limited,BE,INE117B01020,CURAA.NS
CYBERMEDIA,Cyber Media (India) Limited,BE,INE278G01037,CYBERMEDIA.NS
CYBERTECH,Cybertech Systems And Software Limited,BE,INE214A01019,CYBERTECH.NS
CYIENT,Cyient Limited,EQ,INE136B01020,CYIENT.NS
CYIENTDLM,Cyient DLM Limited,EQ,INE055S01018,CYIENTDLM.NS
DABUR,Dabur India Limited,EQ,INE016A01026,DABUR.NS
DAICHI,Dai-Ichi Karkaria Limited,BE,INE928C01010,DAICHI.NS
DALBHARAT,Dalmia Bharat Limited,EQ,INE00R701025,DALBHARAT.NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,INE495A01022,DALMIASUG.NS
DAMCAPITAL,Dam Capital Advisors Limited,EQ,INE284H01025,DAMCAPITAL.NS
DAMODARIND,Damodar Industries Limited,BE,INE497D01022,DAMODARIND.NS
DANGEE,Dangee Dums Limited,EQ,INE688Y01022,DANGEE.NS
DATAMATICS,Datamatics Global Services Limited,EQ,INE365B01017,DATAMATICS.NS
DATAPATTNS,Data Patterns (India) Limited,EQ,INE0IX101010,DATAPATTNS.NS
DAVANGERE,Davangere Sugar Company Limited,EQ,INE179G01029,DAVANGERE.NS
DBCORP,D.B.Corp Limited,EQ,INE950I01011,DBCORP.NS
DBEIL,Deepak Builders & Engineers India Limited,EQ,INE0OPA01027,DBEIL.NS
DBL,Dilip Buildcon Limited,EQ,INE917M01012,DBL.NS
DBOL,Dhampur Bio Organics Limited,EQ,INE0I3401014,DBOL.NS
DBREALTY,Valor Estate Limited,EQ,INE879I01012,DBREALTY.NS
DBSTOCKBRO,DB (International) Stock Brokers Limited,BE,INE921B01025,DBSTOCKBRO.NS
DCAL,Dishman Carbogen Amcis Limited,EQ,INE385W01011,DCAL.NS
DCBBANK,DCB Bank Limited,EQ,INE503A01015,DCBBANK.NS
DCI,Dc Infotech And Communication Limited,EQ,INE0A1101019,DCI.NS
DCM,DCM  Limited,EQ,INE498A01018,DCM.NS
DCMFINSERV,DCM Financial Services Limited,EQ,INE891B01012,DCMFINSERV.NS
DCMNVL,DCM Nouvelle Limited,EQ,INE08KP01019,DCMNVL.NS
DCMSHRIRAM,DCM Shriram Limited,EQ,INE499A01024,DCMSHRIRAM.NS
DCMSIL,DCM Shriram International Limited,EQ,INE0OU201013,DCMSIL.NS
DCMSRIND,DCM Shriram Industries Limited,EQ,INE843D01027,DCMSRIND.NS
DCW,DCW Limited,EQ,INE500A01029,DCW.NS
DCXINDIA,DCX Systems Limited,EQ,INE0KL801015,DCXINDIA.NS
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,INE0HR601026,DDEVPLSTIK.NS
DECCANCE,Deccan Cements Limited,EQ,INE583C01021,DECCANCE.NS
DECNGOLD,Deccan Gold Mines Limited,EQ,INE945F01025,DECNGOLD.NS
DEEDEV,DEE Development Engineers Limited,EQ,INE841L01016,DEEDEV.NS
DEEP,Deep Polymers Limited,BE,INE00IY01012,DEEP.NS
DEEPA,Deepa Jewellers Limited,EQ,INE1M2N01020,DEEPA.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,INE501A01019,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Limited,EQ,INE288B01029,DEEPAKNTR.NS
DEEPINDS,Deep Industries Limited,EQ,INE0FHS01024,DEEPINDS.NS
DELHIVERY,Delhivery Limited,EQ,INE148O01028,DELHIVERY.NS
DELPHIFX,DELPHI WORLD MONEY LIMITED,BE,INE726L01027,DELPHIFX.NS
DELTACORP,Delta Corp Limited,EQ,INE124G01033,DELTACORP.NS
DELTAMAGNT,Delta Manufacturing Limited,EQ,INE393A01011,DELTAMAGNT.NS
DEN,Den Networks Limited,EQ,INE947J01015,DEN.NS
DENORA,De Nora India Limited,EQ,INE244A01016,DENORA.NS
DENTA,Denta Water and Infra Solutions Limited,EQ,INE0R4L01018,DENTA.NS
DEVIT,Dev Information Technology Limited,EQ,INE060X01034,DEVIT.NS
DEVX,Dev Accelerator Limited,EQ,INE0VOV01021,DEVX.NS
DEVYANI,Devyani International Limited,EQ,INE872J01023,DEVYANI.NS
DGCONTENT,Digicontent Limited,EQ,INE03JI01017,DGCONTENT.NS
DHABRIYA,Dhabriya Polywood Limited,BE,INE260R01016,DHABRIYA.NS
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,INE041A01016,DHAMPURSUG.NS
DHANBANK,Dhanlaxmi Bank Limited,EQ,INE680A01011,DHANBANK.NS
DHANUKA,Dhanuka Agritech Limited,EQ,INE435G01025,DHANUKA.NS
DHARAN,DHARAN INFRA-EPC LIMITED,BZ,INE278R01034,DHARAN.NS
DHARMAJ,Dharmaj Crop Guard Limited,EQ,INE00OQ01016,DHARMAJ.NS
DHATRE,Dhatre Udyog Limited,EQ,INE715T01031,DHATRE.NS
DHOOTTRANS,Dhoot Transmission Limited,EQ,INE01NH01023,DHOOTTRANS.NS
DHRUV,Dhruv Consultancy Services Limited,EQ,INE506Z01015,DHRUV.NS
DHUNINV,Dhunseri Investments Limited,EQ,INE320L01011,DHUNINV.NS
DIACABS,Diamond Power Infrastructure Limited,BE,INE989C01038,DIACABS.NS
DIAMINESQ,Diamines & Chemicals Limited,EQ,INE591D01014,DIAMINESQ.NS
DIAMONDYD,Prataap Snacks Limited,EQ,INE393P01035,DIAMONDYD.NS
DICIND,DIC India Limited,EQ,INE303A01010,DICIND.NS
DIFFNKG,Diffusion Engineers Limited,EQ,INE184O01015,DIFFNKG.NS
DIGIDRIVE,Digidrive Distributors Limited,EQ,INE0PSC01024,DIGIDRIVE.NS
DIGISPICE,DiGiSPICE Technologies Limited,EQ,INE927C01020,DIGISPICE.NS
DIGITIDE,Digitide Solutions Limited,EQ,INE0U4701011,DIGITIDE.NS
DIGJAMLMTD,Digjam Limited,BE,INE731U01028,DIGJAMLMTD.NS
DISAQ,Disa India Limited,EQ,INE131C01011,DISAQ.NS
DISHTV,Dish TV India Limited,EQ,INE836F01026,DISHTV.NS
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,INE753U01022,DIVGIITTS.NS
DIVISLAB,Divi's Laboratories Limited,EQ,INE361B01024,DIVISLAB.NS
DIXON,Dixon Technologies (India) Limited,EQ,INE935N01020,DIXON.NS
DJML,DJ Mediaprint & Logistics Limited,EQ,INE0B1K01014,DJML.NS
DLF,DLF Limited,EQ,INE271C01023,DLF.NS
DLINKINDIA,D-Link (India) Limited,EQ,INE250K01012,DLINKINDIA.NS
DMART,Avenue Supermarts Limited,EQ,INE192R01011,DMART.NS
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,INE505A01010,DMCC.NS
DNAMEDIA,Diligent Media Corporation Limited,EQ,INE016M01021,DNAMEDIA.NS
DODLA,Dodla Dairy Limited,EQ,INE021O01019,DODLA.NS
DOLATALGO,Dolat Algotech Limited,EQ,INE966A01022,DOLATALGO.NS
DOLLAR,Dollar Industries Limited,EQ,INE325C01035,DOLLAR.NS
DOLLEX,Dollex Agrotech Limited,EQ,INE0JHH01011,DOLLEX.NS
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,INE920A01037,DOLPHIN.NS
DOMS,DOMS Industries Limited,EQ,INE321T01012,DOMS.NS
DONEAR,Donear Industries Limited,EQ,INE668D01028,DONEAR.NS
DPABHUSHAN,D. P. Abhushan Limited,EQ,INE266Y01019,DPABHUSHAN.NS
DPSCLTD,DPSC Limited,BE,INE360C01024,DPSCLTD.NS
DPWIRES,D P Wires Limited,BE,INE864X01013,DPWIRES.NS
DRAGARWQ,Dr Agarwals Eye Hospital Limited,EQ,INE934C01018,DRAGARWQ.NS
DRCSYSTEMS,DRC Systems India Limited,EQ,INE03RS01027,DRCSYSTEMS.NS
DREAMFOLKS,Dreamfolks Services Limited,EQ,INE0JS101016,DREAMFOLKS.NS
DREDGECORP,Dredging Corporation of India Limited,EQ,INE506A01018,DREDGECORP.NS
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,INE089A01031,DRREDDY.NS
DSFCL,DCM Shriram Fine Chemicals Limited,EQ,INE0OFM01015,DSFCL.NS
DSKULKARNI,DS Kulkarni Developers Limited,BE,INE891A01022,DSKULKARNI.NS
DSSL,Dynacons Systems & Solutions Limited,EQ,INE417B01040,DSSL.NS
DTIL,Dhunseri Tea & Industries Limited,BE,INE341R01014,DTIL.NS
DUCON,Ducon Infratechnologies Limited,EQ,INE741L01018,DUCON.NS
DVL,Dhunseri Ventures Limited,EQ,INE477B01010,DVL.NS
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,INE366A01041,DWARKESH.NS
DYCL,Dynamic Cables Limited,EQ,INE600Y01019,DYCL.NS
DYNAMATECH,Dynamatic Technologies Limited,EQ,INE221B01012,DYNAMATECH.NS
DYNPRO,Dynemic Products Limited,EQ,INE256H01015,DYNPRO.NS
E2E,E2E Networks Limited,BE,INE255Z01027,E2E.NS
EASEMYTRIP,Easy Trip Planners Limited,EQ,INE07O001026,EASEMYTRIP.NS
EASTSILK,Eastern Silk Industries Limited,BE,INE962C01035,EASTSILK.NS
EASTWEST,East West Freight Carriers Limited,EQ,INE595R01023,EASTWEST.NS
EBGNG,GNG Electronics Limited,EQ,INE18JU01028,EBGNG.NS
EBIX,EBIX Limited,BE,INE432F01032,EBIX.NS
ECLERX,eClerx Services Limited,EQ,INE738I01010,ECLERX.NS
ECORECO,Eco Recycling Limited,EQ,INE316A01038,ECORECO.NS
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,INE06HJ01020,ECOSMOBLTY.NS
EDELWEISS,Edelweiss Financial Services Limited,EQ,INE532F01054,EDELWEISS.NS
EFCIL,EFC (I) Limited,EQ,INE886D01026,EFCIL.NS
EICHERMOT,Eicher Motors Limited,EQ,INE066A01021,EICHERMOT.NS
EIDPARRY,EID Parry India Limited,EQ,INE126A01031,EIDPARRY.NS
EIEL,Enviro Infra Engineers Limited,EQ,INE0LLY01014,EIEL.NS
EIFFL,Euro India Fresh Foods Limited,BE,INE546V01010,EIFFL.NS
EIHAHOTELS,EIH Associated Hotels Limited,EQ,INE276C01014,EIHAHOTELS.NS
EIHOTEL,EIH Limited,EQ,INE230A01023,EIHOTEL.NS
EIMCOELECO,Eimco Elecon (India) Limited,EQ,INE158B01016,EIMCOELECO.NS
EKC,Everest Kanto Cylinder Limited,EQ,INE184H01027,EKC.NS
EKI,EKI Energy Services Limited,EQ,INE0CPR01018,EKI.NS
ELANTAS,Elantas Beck India Limited,EQ,INE280B01018,ELANTAS.NS
ELCIDIN,EL CID Investments Limited,EQ,INE927X01018,ELCIDIN.NS
ELDEHSG,Eldeco Housing And Industries Limited,EQ,INE668G01021,ELDEHSG.NS
ELECON,Elecon Engineering Company Limited,EQ,INE205B01031,ELECON.NS
ELECTCAST,Electrosteel Castings Limited,EQ,INE086A01029,ELECTCAST.NS
ELECTHERM,Electrotherm (India) Limited,EQ,INE822G01016,ELECTHERM.NS
ELGIEQUIP,Elgi Equipments Limited,EQ,INE285A01027,ELGIEQUIP.NS
ELGIRUBCO,Elgi Rubber Company Limited,EQ,INE819L01012,ELGIRUBCO.NS
ELIN,Elin Electronics Limited,EQ,INE050401020,ELIN.NS
ELITECON,Elitecon International Limited,EQ,INE669R01026,ELITECON.NS
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,INE236E01022,ELLEN.NS
